function,taylor
1 - 2*x,1 - 2*x
-x - sin(x),x*(x**2 - 12)/6
sin(x) + cos(x) + 2,x**4/24 - x**3/6 - x**2/2 + x + 3
x*(1 - x),x*(1 - x)
x**2 + cos(x) + 4,x**4/24 + x**2/2 + 5
x*cos(x) + 1,-x**3/2 + x + 1
-2*x + exp(x) + sin(x),x**4/24 + x**2/2 + 1
exp(x)*cos(x) + sin(x) + 1,-x**4/6 - x**3/2 + 2*x + 2
(x + 1)*sin(x),x*(-x**3 - x**2 + 6*x + 6)/6
x + 1,x + 1
x + cos(x) + 1,x**4/24 - x**2/2 + x + 2
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
5*sin(x),5*x*(6 - x**2)/6
(x + 1)*cos(x),x**4/24 - x**3/2 - x**2/2 + x + 1
sin(x) + 5,-x**3/6 + x + 5
x**2,x**2
x,x
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
0,0
8,8
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
x**2,x**2
-x - cos(x) + 1,x*(-x**3 + 12*x - 24)/24
x*cos(x),-x**3/2 + x
-x,-x
x*(1 - 3*exp(x)),x*(-x**3 - 3*x**2 - 6*x - 4)/2
x,x
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
x + sin(x),x*(12 - x**2)/6
cos(x) + 5,x**4/24 - x**2/2 + 6
x + exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + x + 1
cos(x) + 1,x**4/24 - x**2/2 + 2
4*x,4*x
x + exp(x) + 4*sin(x),x**4/24 - x**3/2 + x**2/2 + 6*x + 1
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-1,-1
4 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 3
x + 6,x + 6
6,6
sin(x) + cos(x)**2 - 3,x**4/3 - x**3/6 - x**2 + x - 2
-cos(x),-x**4/24 + x**2/2 - 1
2*x,2*x
4*x,4*x
5*x + 3,5*x + 3
exp(x) + sqrt(2)*cos(x + pi/4),x**4/12 + x**3/3 + 2
x + 5,x + 5
x + sin(x),x*(12 - x**2)/6
x*cos(x) + 6,-x**3/2 + x + 6
sin(x) + 5,-x**3/6 + x + 5
-x**2 + cos(x),x**4/24 - 3*x**2/2 + 1
(sin(x) + 1)*cos(x),x**4/24 - 2*x**3/3 - x**2/2 + x + 1
0,0
x,x
sin(x) + 7,-x**3/6 + x + 7
5*x*cos(x),5*x*(2 - x**2)/2
x - cos(x),-x**4/24 + x**2/2 + x - 1
8,8
x*(1 - cos(x)),x**3/2
x**2 + exp(2*x),2*x**4/3 + 4*x**3/3 + 3*x**2 + 2*x + 1
x + cos(x),x**4/24 - x**2/2 + x + 1
-x*exp(x) + 1,-x**4/6 - x**3/2 - x**2 - x + 1
-exp(x)*cos(x) + 2,x**4/6 + x**3/3 - x + 1
-x + exp(x) - 2,x**4/24 + x**3/6 + x**2/2 - 1
0,0
5*x**2 - cos(x),-x**4/24 + 11*x**2/2 - 1
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
sin(x) + 4,-x**3/6 + x + 4
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
x + sin(x),x*(12 - x**2)/6
x*sin(x) + 2,-x**4/6 + x**2 + 2
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
x + 2*sin(x) - cos(x),-x**4/24 - x**3/3 + x**2/2 + 3*x - 1
-2*x,-2*x
-3,-3
3,3
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
2 - x,2 - x
x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 2*x + 3
x*cos(x) + sin(x),2*x*(3 - x**2)/3
x + cos(x),x**4/24 - x**2/2 + x + 1
2*x - 4,2*x - 4
x + 3,x + 3
x - cos(x),-x**4/24 + x**2/2 + x - 1
x + sqrt(2)*sin(x + pi/4) + 1,x**4/24 - x**3/6 - x**2/2 + 2*x + 2
2*sin(x),x*(6 - x**2)/3
(x + 1)*exp(x),5*x**4/24 + 2*x**3/3 + 3*x**2/2 + 2*x + 1
2*x,2*x
3*x - 5,3*x - 5
x - exp(x) - sin(x) + 5,-x**4/24 - x**2/2 - x + 4
x + sin(x),x*(12 - x**2)/6
x*cos(x),-x**3/2 + x
6*x*sin(x),x**2*(6 - x**2)
x - 1,x - 1
-x + cos(x),x**4/24 - x**2/2 - x + 1
x - exp(x) + 2,-x**4/24 - x**3/6 - x**2/2 + 1
6,6
x + 2*sin(x),x*(9 - x**2)/3
0,0
x*(2 - sin(x)),x*(x**3 - 6*x + 12)/6
-x + cos(x),x**4/24 - x**2/2 - x + 1
2*x - sin(x) + 3,x**3/6 + x + 3
-x + cos(x),x**4/24 - x**2/2 - x + 1
2*x + sin(x),x*(18 - x**2)/6
2*x*sin(x),x**2*(6 - x**2)/3
x + 2*cos(x),x**4/12 - x**2 + x + 2
(1 - x)*exp(x),-x**4/8 - x**3/3 - x**2/2 + 1
0,0
cos(x)**2,x**4/3 - x**2 + 1
sin(x)**2 - 4,-x**4/3 + x**2 - 4
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
x + sin(x) + 2,-x**3/6 + 2*x + 2
4,4
exp(x) + cos(x) + 3,x**4/12 + x**3/6 + x + 5
-x + 2*cos(x),x**4/12 - x**2 - x + 2
x,x
x,x
x,x
x*(2 - sin(x)),x*(x**3 - 6*x + 12)/6
x**2,x**2
-exp(x) - sin(x) + 4,-x**4/24 - x**2/2 - 2*x + 3
cos(x) + 3,x**4/24 - x**2/2 + 4
5*x,5*x
x + 6,x + 6
4*x*exp(x),2*x*(x**3 + 3*x**2 + 6*x + 6)/3
x*(sin(x) - 5),x*(-x**3 + 6*x - 30)/6
x**2,x**2
sin(x) - 5,-x**3/6 + x - 5
-2*x + cos(x) + 3,x**4/24 - x**2/2 - 2*x + 4
cos(x) + 5,x**4/24 - x**2/2 + 6
x - 2,x - 2
6*x,6*x
4 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 3
-2,-2
-x + sin(x),-x**3/6
-x**2 + exp(x) + cos(x),x**4/12 + x**3/6 - x**2 + x + 2
x + 4*cos(x),x**4/6 - 2*x**2 + x + 4
exp(x) + 9,x**4/24 + x**3/6 + x**2/2 + x + 10
cos(x) + 1,x**4/24 - x**2/2 + 2
-x**2 + x + 5,-x**2 + x + 5
-3*x - exp(x) + cos(x),x*(-x**2 - 6*x - 24)/6
2*x + sin(x),x*(18 - x**2)/6
3*x + 2,3*x + 2
x - 5*cos(x),-5*x**4/24 + 5*x**2/2 + x - 5
-x + 3*sin(x)**2,x*(-x**3 + 3*x - 1)
exp(x)*cos(x) + sin(x),-x**4/6 - x**3/2 + 2*x + 1
x*(sin(x) + 1),x*(-x**3/6 + x + 1)
2*x + 3,2*x + 3
x + 4*cos(x),x**4/6 - 2*x**2 + x + 4
9 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 8
x + 4*exp(x) + sin(x),x**4/6 + x**3/2 + 2*x**2 + 6*x + 4
x + 4,x + 4
x,x
-x + 2*cos(x) + 2,x**4/12 - x**2 - x + 4
6,6
x - 1,x - 1
-x + cos(x) - 2,x**4/24 - x**2/2 - x - 1
x + 5,x + 5
x*(1 - sin(x)),x*(x**3/6 - x + 1)
-x*cos(x) + x - cos(x),-x**4/24 + x**3/2 + x**2/2 - 1
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
2*x - sin(x),x**3/6 + x
x + 4,x + 4
x - 10,x - 10
x**2,x**2
x*cos(x) + 5,-x**3/2 + x + 5
cos(x) + 8,x**4/24 - x**2/2 + 9
x + 1,x + 1
-2,-2
exp(x) - cos(x) + 6,x**3/6 + x**2 + x + 6
2*x - sin(x),x**3/6 + x
4*cos(x),x**4/6 - 2*x**2 + 4
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
sin(x) - 9,-x**3/6 + x - 9
x + 5,x + 5
x + 4,x + 4
x - sqrt(2)*cos(x + pi/4) + 5,-x**4/24 - x**3/6 + x**2/2 + 2*x + 4
-x**2 + cos(x),x**4/24 - 3*x**2/2 + 1
5*cos(x),5*x**4/24 - 5*x**2/2 + 5
x*(x + 1),x*(x + 1)
x*cos(x)**2,-x**3 + x
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
x - exp(x),-x**4/24 - x**3/6 - x**2/2 - 1
2*x + 4,2*x + 4
(x*cos(x) + 1)*exp(x),-7*x**4/24 + x**3/6 + 3*x**2/2 + 2*x + 1
4*sin(x) + cos(x),x**4/24 - 2*x**3/3 - x**2/2 + 4*x + 1
cos(x) + 12,x**4/24 - x**2/2 + 13
x + 4*sin(x) + 2,-2*x**3/3 + 5*x + 2
2*exp(x) + sin(x) + 1,x**4/12 + x**3/6 + x**2 + 3*x + 3
2*x,2*x
-exp(x)*cos(x) + cos(x) + 5,5*x**4/24 + x**3/3 - x**2/2 - x + 5
x + 4,x + 4
2*x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 4*x + 2
x + cos(x) - 1,x*(x**3 - 12*x + 24)/24
1 - x**2,1 - x**2
sin(x) + 20,-x**3/6 + x + 20
1 - sin(x),x**3/6 - x + 1
cos(x) + 5,x**4/24 - x**2/2 + 6
2*sin(x),x*(6 - x**2)/3
cos(x)**2 + 3,x**4/3 - x**2 + 4
8,8
2*x,2*x
4 - x,4 - x
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
x*cos(x),-x**3/2 + x
4*x,4*x
x + exp(x) + sin(x),x**4/24 + x**2/2 + 3*x + 1
-x + 5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 4*x + 5
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
x - 9,x - 9
sin(x)**2 + 3,-x**4/3 + x**2 + 3
(x + 1)*sin(x),x*(-x**3 - x**2 + 6*x + 6)/6
2,2
4*cos(x),x**4/6 - 2*x**2 + 4
3 - x**2,3 - x**2
2*x*sin(x),x**2*(6 - x**2)/3
5 - x,5 - x
-x**2 + cos(x),x**4/24 - 3*x**2/2 + 1
0,0
x + sqrt(2)*cos(x + pi/4) + 1,x**4/24 + x**3/6 - x**2/2 + 2
3*x,3*x
x + sqrt(2)*sin(x + pi/4) + 2,x**4/24 - x**3/6 - x**2/2 + 2*x + 3
5*x**2,5*x**2
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
x + cos(x),x**4/24 - x**2/2 + x + 1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
3*exp(2*x),2*x**4 + 4*x**3 + 6*x**2 + 6*x + 3
2*x - 3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - x - 3
4*x - 3,4*x - 3
(exp(x) - 1)*exp(x),x*(15*x**3 + 28*x**2 + 36*x + 24)/24
-4,-4
x**2 - x + sin(x),x**2*(6 - x)/6
x - 4,x - 4
cos(x) + 3,x**4/24 - x**2/2 + 4
x + 3*cos(x),x**4/8 - 3*x**2/2 + x + 3
sin(x) + 2,-x**3/6 + x + 2
2,2
x,x
-x*sin(x) + exp(x),5*x**4/24 + x**3/6 - x**2/2 + x + 1
x - cos(x) + 2,-x**4/24 + x**2/2 + x + 1
3*x - 2*cos(x),-x**4/12 + x**2 + 3*x - 2
5*x**2 + sin(x),x*(-x**2 + 30*x + 6)/6
0,0
2*x,2*x
-x**2 + cos(x),x**4/24 - 3*x**2/2 + 1
3*x*sin(x) + cos(x),-11*x**4/24 + 5*x**2/2 + 1
5,5
4*x + 4,4*x + 4
2*x - 2*exp(x),-x**4/12 - x**3/3 - x**2 - 2
9 - sin(x),x**3/6 - x + 9
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
4*x,4*x
x*sin(x),-x**4/6 + x**2
exp(x) - cos(x),x*(x**2/6 + x + 1)
x*cos(x),-x**3/2 + x
x + 4,x + 4
x*(exp(x) - 1),x**2*(x**2 + 3*x + 6)/6
x*exp(x) - 3,x**4/6 + x**3/2 + x**2 + x - 3
x**2,x**2
x + sin(x) + 4,-x**3/6 + 2*x + 4
exp(x) - cos(x) - 3,x**3/6 + x**2 + x - 3
x*cos(x) + exp(x),x**4/24 - x**3/3 + x**2/2 + 2*x + 1
1 - x,1 - x
x - cos(x) + 4,-x**4/24 + x**2/2 + x + 3
x*(1 - x),x*(1 - x)
x**2 - x + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + 1
sin(2*x)/2,-2*x**3/3 + x
6*x - sin(x),x*(x**2 + 30)/6
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
exp(x) - sin(x) + 2,x**4/24 + x**3/3 + x**2/2 + 3
2*cos(x),x**4/12 - x**2 + 2
x - 2*cos(x) + 4,-x**4/12 + x**2 + x + 2
x + 4,x + 4
(x + 1)*sin(x),x*(-x**3 - x**2 + 6*x + 6)/6
x**2 + 3,x**2 + 3
2*cos(x),x**4/12 - x**2 + 2
0,0
x*sin(x)**2,x**3
x + 1,x + 1
5 - x,5 - x
x*exp(x) + 3,x**4/6 + x**3/2 + x**2 + x + 3
25,25
x - 4,x - 4
x + 2,x + 2
2*x - exp(x) + 1,x*(-x**3 - 4*x**2 - 12*x + 24)/24
-x + cos(x),x**4/24 - x**2/2 - x + 1
1 - cos(x),x**2*(12 - x**2)/24
x + sin(x)**2,x*(-x**3/3 + x + 1)
x**2*exp(x),x**2*(x**2/2 + x + 1)
x**2,x**2
-x + exp(x) + cos(x)**2,3*x**4/8 + x**3/6 - x**2/2 + 2
x*sin(x),-x**4/6 + x**2
x + sin(x) + 4,-x**3/6 + 2*x + 4
x**2 + x + cos(x),x**4/24 + x**2/2 + x + 1
x*(exp(x) + 5),x*(x**3 + 3*x**2 + 6*x + 36)/6
3 - cos(x),-x**4/24 + x**2/2 + 2
-exp(x) + sqrt(2)*cos(x + pi/4) + 2,-x**2 - 2*x + 2
x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 2*x + 4
x - cos(x) + 1,x*(-x**3 + 12*x + 24)/24
x - 2,x - 2
x**2,x**2
x + 4,x + 4
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
x*sin(x),-x**4/6 + x**2
exp(x)*sin(x),x*(x**2/3 + x + 1)
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x + 3,x + 3
2*x,2*x
x - 2,x - 2
exp(x)*sin(x) - cos(x) + 4,-x**4/24 + x**3/3 + 3*x**2/2 + x + 3
6*x + 4,6*x + 4
x - 1,x - 1
-x**2 + x - 4,-x**2 + x - 4
6*x,6*x
exp(x) + cos(x) + 1,x**4/12 + x**3/6 + x + 3
x**2,x**2
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
exp(x) + sin(x) + 2,x**4/24 + x**2/2 + 2*x + 3
x + cos(x) + 2,x**4/24 - x**2/2 + x + 3
x**2,x**2
-exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 - 1
exp(x) - 5,x**4/24 + x**3/6 + x**2/2 + x - 4
6*x,6*x
5*x + 3,5*x + 3
1 - x,1 - x
3*x*exp(x),x*(x**3 + 3*x**2 + 6*x + 6)/2
x*(x - sin(x)),x**4/6
-x + exp(x)*sin(x),x**2*(x + 3)/3
-sin(x) + cos(x),x**4/24 + x**3/6 - x**2/2 - x + 1
x**2*sin(x),x**3
5,5
sin(x) + 5,-x**3/6 + x + 5
3*x + sin(x) - 1,-x**3/6 + 4*x - 1
x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 2*x + 3
5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 5
x + sin(x) + 7,-x**3/6 + 2*x + 7
x*cos(x) + cos(x) - 2,x**4/24 - x**3/2 - x**2/2 + x - 1
6,6
x*(3*x - 1),x*(3*x - 1)
6*x,6*x
x**2*exp(x) + cos(x),13*x**4/24 + x**3 + x**2/2 + 1
3*x + 1,3*x + 1
4*x - 5,4*x - 5
x*sin(x),-x**4/6 + x**2
x*sin(x),-x**4/6 + x**2
2*cos(x) - 5,x**4/12 - x**2 - 3
sin(2*x)/2,-2*x**3/3 + x
3 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 2
x - 2*cos(x),-x**4/12 + x**2 + x - 2
-x,-x
2,2
5*x,5*x
-x - sqrt(2)*cos(x + pi/4) + 3,-x**4/24 - x**3/6 + x**2/2 + 2
cos(x) + 1,x**4/24 - x**2/2 + 2
x*(sin(x) + 1),x*(-x**3/6 + x + 1)
x**2,x**2
2*x,2*x
x*cos(x),-x**3/2 + x
0,0
sin(x) - cos(x) + 2,-x**4/24 - x**3/6 + x**2/2 + x + 1
x**2 + 1,x**2 + 1
2 - sin(x),x**3/6 - x + 2
3*sin(x) + 3,-x**3/2 + 3*x + 3
1,1
x*cos(x) + 4,-x**3/2 + x + 4
4*x**2 - cos(x),-x**4/24 + 9*x**2/2 - 1
3 - sin(x),x**3/6 - x + 3
x*sin(x) - 1,-x**4/6 + x**2 - 1
x + 5,x + 5
2,2
-exp(x) + 2*sin(x),-x**4/24 - x**3/2 - x**2/2 + x - 1
9 - x,9 - x
-exp(x)*sin(x) + 1,-x**3/3 - x**2 - x + 1
4*x,4*x
8,8
x,x
sin(x) + 4,-x**3/6 + x + 4
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
x - exp(x) - 3,-x**4/24 - x**3/6 - x**2/2 - 4
2*x + cos(x) + 5,x**4/24 - x**2/2 + 2*x + 6
6 - sin(x),x**3/6 - x + 6
2*exp(x) - cos(x),x**4/24 + x**3/3 + 3*x**2/2 + 2*x + 1
x*(exp(x) + 1),x*(x**3 + 3*x**2 + 6*x + 12)/6
cos(x) + 12,x**4/24 - x**2/2 + 13
-x + cos(x),x**4/24 - x**2/2 - x + 1
(x - 1)*sin(x),x*(-x**3 + x**2 + 6*x - 6)/6
x*(exp(x) - 1),x**2*(x**2 + 3*x + 6)/6
4*cos(x),x**4/6 - 2*x**2 + 4
0,0
sin(x),-x**3/6 + x
x*(sin(x) - 1),x*(-x**3/6 + x - 1)
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
x*sin(x) + 3,-x**4/6 + x**2 + 3
x + 2,x + 2
x,x
-sin(2*x)/2 + sqrt(2)*sin(x + pi/4),x**4/24 + x**3/2 - x**2/2 + 1
4*x*sin(x),2*x**2*(6 - x**2)/3
5*x,5*x
-sin(x) - cos(x),-x**4/24 + x**3/6 + x**2/2 - x - 1
exp(x)*sin(x),x*(x**2/3 + x + 1)
5*sin(x),5*x*(6 - x**2)/6
x*cos(x) + x - exp(x),-x**4/24 - 2*x**3/3 - x**2/2 + x - 1
-3*x + sqrt(2)*sin(x + pi/4),x**4/24 - x**3/6 - x**2/2 - 2*x + 1
-x*exp(x) + 1,-x**4/6 - x**3/2 - x**2 - x + 1
2*sin(x)**2,2*x**2*(3 - x**2)/3
cos(x) + 4,x**4/24 - x**2/2 + 5
2 - 3*x,2 - 3*x
exp(x) + sin(x) + 5*cos(x),x**4/4 - 2*x**2 + 2*x + 6
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x - sin(x) + 6,x**3/6 + 6
10*exp(x),5*x**4/12 + 5*x**3/3 + 5*x**2 + 10*x + 10
4*cos(x),x**4/6 - 2*x**2 + 4
-x - sin(x),x*(x**2 - 12)/6
x + 4,x + 4
-2*x + sqrt(2)*cos(x + pi/4),x**4/24 + x**3/6 - x**2/2 - 3*x + 1
1,1
4*sin(x),2*x*(6 - x**2)/3
2*x,2*x
2*exp(x) - sqrt(2)*sin(x + pi/4),x**4/24 + x**3/2 + 3*x**2/2 + x + 1
25,25
-x*sin(x) - x + cos(x),5*x**4/24 - 3*x**2/2 - x + 1
2*x - exp(x),-x**4/24 - x**3/6 - x**2/2 + x - 1
-x*cos(x) + 2,x**3/2 - x + 2
cos(x)**2,x**4/3 - x**2 + 1
x + sin(x) + 4,-x**3/6 + 2*x + 4
x + exp(x)*cos(x) + sin(x),-x**4/6 - x**3/2 + 3*x + 1
-x,-x
x*sin(x)**2 + 2,x**3 + 2
3*x,3*x
4,4
x**2 + x - cos(x),-x**4/24 + 3*x**2/2 + x - 1
-2*x + cos(x),x**4/24 - x**2/2 - 2*x + 1
sin(x)**2,-x**4/3 + x**2
-2,-2
x + 1,x + 1
1,1
2*exp(2*x),4*x**4/3 + 8*x**3/3 + 4*x**2 + 4*x + 2
-2*x + sin(x),-x**3/6 - x
2*sin(x),x*(6 - x**2)/3
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
10,10
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
-1,-1
exp(x) - 2,x**4/24 + x**3/6 + x**2/2 + x - 1
x,x
x + 6,x + 6
2*x,2*x
2*x,2*x
x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 2*x + 4
cos(x),x**4/24 - x**2/2 + 1
8 - x**2,8 - x**2
5*sin(x) + cos(x),x**4/24 - 5*x**3/6 - x**2/2 + 5*x + 1
x,x
2*x - 4,2*x - 4
x*sin(x) - exp(x),-5*x**4/24 - x**3/6 + x**2/2 - x - 1
x*sin(x) + exp(x) + cos(x),-x**4/12 + x**3/6 + x**2 + x + 2
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-x + sin(x),-x**3/6
2*x - 2,2*x - 2
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
7,7
6*x,6*x
-exp(x) - 2,-x**4/24 - x**3/6 - x**2/2 - x - 3
0,0
x + cos(x),x**4/24 - x**2/2 + x + 1
x*cos(x) + sin(x) + 1,-2*x**3/3 + 2*x + 1
x**2,x**2
-x + exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 - x + 1
x - exp(x) + 2*sin(x),-x**4/24 - x**3/2 - x**2/2 + 2*x - 1
x*(-exp(x)*sin(x) + 1),x*(-x**3/3 - x**2 - x + 1)
3*cos(x),x**4/8 - 3*x**2/2 + 3
-x*cos(x) + 5,x**3/2 - x + 5
-x*sin(x) + 5,x**4/6 - x**2 + 5
-3*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 2*x + 1
2,2
cos(x),x**4/24 - x**2/2 + 1
-1,-1
exp(x) - sin(2*x)/2,x**4/24 + 5*x**3/6 + x**2/2 + 1
x*(-x + cos(x)),x*(-x**2/2 - x + 1)
16,16
5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 5
sin(x) + 4,-x**3/6 + x + 4
-exp(x) + 2*sin(x) + 3,-x**4/24 - x**3/2 - x**2/2 + x + 2
-19*x,-19*x
x**2 + cos(x) + 2,x**4/24 + x**2/2 + 3
exp(x)*cos(x)**2 + sin(x),-x**4/8 - x**3 - x**2/2 + 2*x + 1
-2*x,-2*x
x + sin(x) - 7,-x**3/6 + 2*x - 7
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x*(x - 1),x*(x - 1)
x - sin(x),x**3/6
3,3
x*exp(x) + sin(x),x*(x**3 + 2*x**2 + 6*x + 12)/6
15,15
sin(x) + 5,-x**3/6 + x + 5
x**2 - x + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + 1
exp(x) + 3*sin(x) + cos(x),x**4/12 - x**3/3 + 4*x + 2
(3*cos(x) + 1)*cos(x),25*x**4/24 - 7*x**2/2 + 4
2*x + 5,2*x + 5
3*x - 4,3*x - 4
x**2 - cos(x) + 5,-x**4/24 + 3*x**2/2 + 4
-x + sin(2*x)/2,-2*x**3/3
-3,-3
x + 1,x + 1
x + 2,x + 2
4 - x,4 - x
-x - 1,-x - 1
1 - exp(x),x*(-x**3 - 4*x**2 - 12*x - 24)/24
-x + exp(x) + cos(x),x**4/12 + x**3/6 + 2
-x + cos(x) - 2,x**4/24 - x**2/2 - x - 1
x*sin(x),-x**4/6 + x**2
-cos(x) - 1,-x**4/24 + x**2/2 - 2
cos(x) + 4,x**4/24 - x**2/2 + 5
4*sin(x) + cos(x) - 2,x**4/24 - 2*x**3/3 - x**2/2 + 4*x - 1
-5*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 4*x + 1
-2*x*sin(x) + 3,x**4/3 - 2*x**2 + 3
x**2 + x + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + 2*x + 1
-x*sin(2*x)/2 + exp(x),17*x**4/24 + x**3/6 - x**2/2 + x + 1
2*x**2 + 2,2*x**2 + 2
8,8
x,x
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
x - exp(x) + cos(x) - 3,-x**3/6 - x**2 - 3
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 5
2*x + sin(x),x*(18 - x**2)/6
x*exp(2*x),x*(4*x**3 + 6*x**2 + 6*x + 3)/3
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
sin(x) - cos(x) - 2,-x**4/24 - x**3/6 + x**2/2 + x - 3
4,4
x + 3,x + 3
x*sin(x),-x**4/6 + x**2
-x + sin(x),-x**3/6
8,8
-2*x + 5*cos(x),5*x**4/24 - 5*x**2/2 - 2*x + 5
x - cos(x),-x**4/24 + x**2/2 + x - 1
exp(x) + sin(x) + 2,x**4/24 + x**2/2 + 2*x + 3
x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 3*x + 2
x + cos(x),x**4/24 - x**2/2 + x + 1
-x*sin(x) + 4,x**4/6 - x**2 + 4
10 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 9
x + sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + 2*x - 1
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
x**2 + sin(x),x*(-x**2/6 + x + 1)
3*cos(x),x**4/8 - 3*x**2/2 + 3
cos(x) + 4,x**4/24 - x**2/2 + 5
-x + sin(x) + 2,2 - x**3/6
x**2 + x + sin(x),x*(-x**2 + 6*x + 12)/6
2*cos(x),x**4/12 - x**2 + 2
8,8
-3*x + sqrt(2)*cos(x + pi/4),x**4/24 + x**3/6 - x**2/2 - 4*x + 1
x*(2*cos(x) + 1),x*(3 - x**2)
2*x + exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 2*x + 1
sin(x) + 4,-x**3/6 + x + 4
-x*sin(x) + cos(x) + 5,5*x**4/24 - 3*x**2/2 + 6
exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + x + 6
-x*cos(x) + sin(x) + 1,x**3/3 + 1
-x - exp(x) + cos(x) + 5,-x**3/6 - x**2 - 2*x + 5
x + sin(x),x*(12 - x**2)/6
-cos(x),-x**4/24 + x**2/2 - 1
-x + 4*exp(x) + sin(x),x**4/6 + x**3/2 + 2*x**2 + 4*x + 4
12,12
14,14
x*sin(x) + x + sin(x),x*(-x**3 - x**2 + 6*x + 12)/6
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x,x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
exp(x)*sin(x),x*(x**2/3 + x + 1)
x + exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + 2*x + 3
x + sin(x),x*(12 - x**2)/6
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x - exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 + x - 1
x*cos(x),-x**3/2 + x
x*(x + 1),x*(x + 1)
x - 2,x - 2
-sin(x) + cos(x) + 2,x**4/24 + x**3/6 - x**2/2 - x + 3
3 - exp(x),-x**4/24 - x**3/6 - x**2/2 - x + 2
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
sin(x)**2 + 5,-x**4/3 + x**2 + 5
cos(x) + 1,x**4/24 - x**2/2 + 2
